Ingredients,Allergy name,Allergens
"apples, sugar, unbleached enriched wheat flour (niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid) palm oil, water, modified corn starch, cultured dextrose (maltodextrin, cultured dextrose), dextrose, salt, cinnamon, agar, carob bean gum.","soy allergy., wheat allergy","soy., wheat"
"enriched flour (bleached wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), palm oil margarine (palm oil, soybean oil, water, salt, beta carotene [for color], vitamin a palmitate added), sugar, brown sugar, eggs, natural vani","egg allergy., soy allergy, wheat allergy","eggs., soy, wheat"
"pastry: unbleached wheat flour (wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), water, non hydrogenated palm oil, sugar, salt, ascorbic acid, beta carotene. filling: cherries, sugar, water, corn syrup, modifi","corn allergy., wheat allergy","corn., wheat"
"pastry: unbleached wheat flour (wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), water, non hydrogenated palm oil, sugar, salt, ascorbic acid, beta carotene. filling: apples, sugar, water, corn syrup, modified","corn allergy., wheat allergy","corn., wheat"
"sugar, wheat flour (wheat flour, malted barley flour), eggs, soybean oil, water, pineapple, coconut (contains sulfites), corn starch, leavening (sodium acid pyrophosphate, baking soda), natural flavor, soy flour, nonfat dry milk, sea salt, soy lecithin, x","egg allergy, milk allergy, soy allergy, sulfite sensitivity, wheat allergy","eggs, milk, soy, sulfites., wheat"
"pastry dough [unbleached enriched wheat flour (wheat flour, malted barley flour, ascorbic acid, niacin, thiamin mononitrate, riboflavin, folic acid), water, shortening (palm oil, beta-carotene [for color]), sugar, salt], fruit filling [water, sugar, apple",wheat allergy.,wheat.
"wheat flour, butter, water, chocolate (sugar, cocoa mass, cocoa butter, natural vanilla flavor, soy lecithin), sugar, yeast, whole milk powder, salt, wheat gluten, rapeseed oil lecithin, egg wash (eggs, water), ascorbic acid, enzymes.","dairy allergy, egg allergy., milk allergy, soy allergy, wheat allergy","butter (dairy), eggs., milk, soy, wheat"
"enriched wheat flour (wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), sugar, water, egg, soybean oil, cornmeal, corn starch, leavening (sodium acid pyrophosphate, sodium bicarbonate), nonfat milk powder, sea s","egg allergy, milk allergy., soy allergy, wheat allergy","egg, milk., soy (soybean oil), wheat"
"unbleached enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, sour culture, extra virgin olive oil, salt, yeast, wheat germ, white degerminated corn meal.",wheat allergy.,wheat.
"zucker, kakaomasse, kakaobutter, _vollmilchpulver_, palm??l, karamellzubereitung (glukosesirup, palm??l, zucker, _vollmilchpulver_, wasser, emulgator: lecithine (_soja_), aroma, speisesalz), glukose-fruktose-sirup, _butterreinfett_, marzipan (zucker, _mandeln, dextrose, feuchthaltemittel: glycerin, sorbit), dextrose, _haselnusskerne_, stark ent??ltes kakaopulver, emulgator: lecithine (_soja_), glukosesirup, 0,15% spirituose, _mandeln_, _pisatazien_, aroma, _magermilchpulver_, kaffee","milk allergy, soy allergy, tree nut allergy","almonds, hazelnuts, milk, pistachios., soy"
"unbleached wheat flour, vegetable fat non hydrogenated, water, sugar, chocolate chips (sugar, chocolate liquor, cocoa butter, dextrose, soya lecithin), yeast, eggs, butter, soy flour, salt, vanilla.","egg allergy, milk allergy., soy allergy, wheat allergy","eggs, milk (butter)., soy, wheat"
"enriched wheatflour (wheatflour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), unsalted butter, chocolate chips (sugar, chocolate liquor, cocoa butter, soy lecithin, vanilla), sour cream (cultured pasteurized milk, cream","milk allergy, soy allergy., wheat allergy","milk (butter, sour cream), soy (soy lecithin)., wheat"
"demerara sugar, sultanas (14%), raisins (9.4%), bread rusk [fortified wheat flour (_wheat flour_, calcium carbonate, iron, niacin (b3), thiamin (b1)], salt, yeast), cider, currants (7.7%), sherry (4.9%), palm oil, cognac (4.1%), glac?ð cherries (4.1%) [cherries, glucose-fructose syrup, colour (anthocyanins), acidity regulator (citric acid)], single cream (from _milk_), _walnuts_ (2.6%), _almonds_ (_nut_) (2.3%), fortified wheat flour (_wheat flour_, calcium carbonate, iron, niacin (b3), thramin (b1)]. brandy (1.5%), rum (1.5%), treacle, candied citrus peel [glucose syrup, orange peel, sugar, lemon peel, acidity regulator (citric acid)], _barley_ malt extract, mixed spice [coriander, cinnamon, cloves, fennel, ginger, nutmeg, cardamom], salt, lemon oil, orange oil","almonds), barley allergy., milk allergy, nut allergy (walnuts, wheat allergy","almonds, barley, milk (single cream), nuts (almonds, walnuts, walnuts)., wheat"
"demerara sugar, sultanas (14%), raisins (9.4%), bread rusk [fortified wheat flour (_wheat flour_, calcium carbonate, iron, niacin (b3), thiamin (b1)], salt, yeast), cider, currants (7.7%), sherry (4.9%), palm oil, cognac (4.1%), glac?ð cherries (4.1%) [cherries, glucose-fructose syrup, colour (anthocyanins), acidity regulator (citric acid)], single cream (from _milk_), _walnuts_ (2.6%), _almonds_ (_nut_) (2.3%), fortified wheat flour (_wheat flour_, calcium carbonate, iron, niacin (b3), thramin (b1)]. brandy (1.5%), rum (1.5%), treacle, candied citrus peel [glucose syrup, orange peel, sugar, lemon peel, acidity regulator (citric acid)], _barley malt extract_, mixed spice [coriander, cinnamon, cloves, fennel, ginger, nutmeg, cardamom], salt, lemon oil, orange oil","almonds), barley allergy, gluten sensitivity., milk allergy, nut allergy (walnuts, sulfite sensitivity, wheat allergy","almonds, barley, milk (single cream), nuts (almonds, walnuts, walnuts)., wheat"
"eau gaz?ðifi?ðe, sucre, colorant caramel e150d, acidifiant : acide phosphorique, ar??mes (dont : extraits naturels de v?ðg?ðtaux, caf?ðine)",caffeine sensitivity.,caffeine
"apple juice from concentrate (43%), water, black carrot juice extract and grape skin extract (colors), citric acid, blackcurrant juice from concentrate (5%), sodium citrate, contains 2% or less of: sucralose, natural flavor, potassium sorbate and sodium m",none,none
"sugar, glucose syrup, flavourings, acids (lactic, citric), acidity regulators (e325, e332)",none,none
"carbonated water, sugar, colour (caramel e150d), phosphoric acid, natural flavourings including caffeine",caffeine sensitivity.,caffeine
"carbonated water, caramel e150d, aspartame acesulfame k, natural flavoiring including caffeine, phosphoric acid, citric acid,",caffeine sensitivity.,caffeine
eau az?ðifi?ðe ; sucre : colorant : acidifiant : e338 ; ar??mes naturels (dont extraits v?ðg?ðtau et caf?ðine). a consommer de pr?ðf?ðrence avant le : voir,caffeine sensitivity.,caffeine
"garniture sauce b?ðchamel 60% (eau, jam- bon cuit sup?ðrieur 24% (jambon de porc, sel, sirop de glucose, dextrose, antioxydant (ascorbate de sodium), conservateur (nitrite de sodium)), farine de bl?ð, lait ?ðcr?ðm?ð en poudre, huile de tournesol, emmental 4% (lait, sel, ferments, coagulant), cr??me fra?ðche, comt?ð 0,6% (lait, ferments, sel, pr?ðsure), sel, poivre blanc, muscade), p?íte 40% (eau, farine de bl?ð, oeuf, lait ?ðcr?ðm?ð en poudre, huile de tournesol, dextrose, sel, sucre). viande de porc : origine : france. (traces de c?ðleri).","celery allergy, dairy allergy, egg allergy, pork allergy., wheat allergy","celery, cheese), cream, dairy (milk, egg, pork., wheat"
"malted barley, water, hops, yeast",barley allergy.,barley.
cauliflower,none,none
acqua,none,none
"nuts, cocoa, milk powder","milk allergy., nut allergy","milk., nuts"
"agua, vinagre, _mostaza_, az??cares, sal, especias y extracto de especias.",mustard allergy.,mustard
"40 ivlarmite original - extrait de levu\e ,?ðdientg: extrait de levure, acl. extrait de v?ðg?ðtaux,niacine flamine (vitamine bi). d'?ðpices (c?ðleri). riboflavine acide folique (vitamino b9), vitamino b12. tonditions de congervation d'utiligatlon: a consommer de pr?ðf?ðrence avril 2018 n' lot l6281a17s5 a conget-vor dang un t*ndroit frais et aec, d?ðclaration nutritionnelle (pour 100ml) : valeur ?ðnera?ðtlque,: 110010-250kc! xipldeg: 0,1g dont acides qrag gatur?ðg: tracec iglucideg. 24q dont 395 fibreg. sel: 9,8g/thiamine: : 0 28mg (500% rda')/ niacine: ue: (1250% vitamine b12: o.015mg = apporte journaliers recommand?ð'. 000 04370",celery allergy.,celery
"eau gaz?ðifi?ðe, sucre, acidifiants (acide citrique, acide malique), ar??mes (extraits naturels de citron et de citron vert), correcteur d'acidit?ð (citrate de sodium)",none,none
"water, horseradish, mustard seed, sugar, vegetable oil, salt, food acid, whey protein, butter, modified corn starch, xanthan gum, sodium metabisulphite, color (paprika oleoresin)",milk allergy.,"butter., whey protein"
"farine de _bl?ð_, huile de colza, sucre, _oeufs_ frais 18%, sirop de glucose-fructose, stabilisant : glyc?ðrol, poudres ?? lever : carbonates d'ammonium, carbonates de sodium, diphosphates (_bl?ð_), sel, ?ðmulsifiants : mono et diglyc?ðrides d'acides gras, _lait_ ?ðcr?ðm?ð en poudre, ar??me.","egg allergy, milk allergy., wheat allergy","eggs, milk powder., wheat"
chamomile flowers.,chamomile allergy.,chamomile
peppermint.,peppermint allergy.,peppermint
linden flowers.,linden flowers allergy,linden flowers.
hibiscus flowers.,hibiscus flower allergy.,hibiscus flower
"tea, cinnamon & natural apple flavor.",none,none
green tea.,none,none
shave grass.,none,none
chamomile spearmint.,none,none
artichoke malva senna leaf hibiscus chamomile natural apple flavor.,none,none
"andropogon citratus, uva ursi, hibiscus flowers, cinnamon, equisetum arvense, flourensia cernua.",hibiscus allergy,hibiscus
shave grass corn silk uva ursi juliana astringen boldo hibiscus flowers orange blossom.,hibiscus allergy,hibiscus
eucalyptus licorice ginger elder mullein cinnamon orange blossom.,licorice allergy.,licorice.
100% canola oil .,none,none
"canola oil, water, palm oil, palm kernel oil, salt, whey powder (milk), vegetable mono and diglycerides soybean lecithin, potassium sorbate (preservative), citric acid, artifical flavor, vitamin e (dl-alpha-tocopherol acetate), vitamin a palmitate, beta carotene & vitamin d3.","milk allergy, soy allergy.","milk, soy."
"canola oil, water, palm oil, flax oil, palm kernel oil, whey powder (milk), salt, vegetable mono and diglycerides, soybean lecithin, potassium sorbate (preservative), citric acid, artificial flavor, vitamin e (dl-alpha-tocopherol acetate), calcium disodium edta (to preserve freshness), vitamin a palmitate, beta-carotene, vitamin d3.","milk allergy, soy allergy.","milk, soy."
"rye flour, water, wheat, flour, malt, molasses, sugar, onion, yeast, caraway seeds, salt.","rye allergy., wheat allergy","rye., wheat"
spring onions,none,none
"sugar, cocoa butter, skimmed milk powder, cocoa mass, whey powder (from milk), lactose, milk fat, emulsifier (soya lecithin), natural vanilla extract. milk chocolate contains milk solids 14% minimum and cocoa solids 25% minimum.","milk allergy, soy allergy","milk, soy."
"sugar, cocoa butter, skimmed milk powder, cocoa mass, whey powder (from milk), lactose, milk fat, emulsifier (soya lecithin), natural vanilla extract.","milk allergy, soy allergy","milk, soy."
"fortified wheat flour (with calcium, iron, niacin, thiamin), vegetable oil (palm), sugar, wholemeal wheat flour, dried cream cheese (2.5%) (milk), dried skimmed milk, oatmeal, low fat yogurt powder (milk), dried whey (milk), dextrose, raising agents (sodi","milk allergy, soy allergy, wheat allergy","milk, soy., wheat"
"flour (wheat flour, calcium, iron, niacin, thiamin), milk chocolate (27%) [sugar, cocoa butter, dried skimmed milk, cocoa mass, dried whey (milk), butter oil (milk), emulsifier (soya lecithin), natural flavouring], sugar, vegetable oil (palm), partially i","milk allergy, soy allergy, wheat allergy","milk, soy., wheat"
"organic sprouted wheat, filtered water, organic malted barley, organic malted barley, organic sprouted rye, organic sprouted barley, organic sprouted oats, organic sprouted millet, organic sprouted corn, organic sprouted brown rice, yeast, organic wheat gluten, sea salt.","barley allergy, corn allergy, gluten intolerance., oat allergy, rye allergy, wheat allergy","barley, corn, gluten., oats, rye, wheat"
"black chickpea gram flour, salt, raising agent, calcium oxide, rice flour, sunflower oil.","chickpea allergy, rice allergy.","chickpea, rice."
"proteinmischung (_sojaprotein_, _weizenprotein_, _molkenprotein_, _wheyprotein_), _milchprotein_, _h??hnereiweiss_, kakaopulver (nur sorte schoko), aroma, pflanzen??l, s????ungsmittel natriumsaccharin und acesulfam-k.","egg allergy., milk allergy, soy allergy, wheat allergy","egg., milk, soy, wheat"
"proteinmischung (_sojaprotein_, _weizenprotein_, _molkenprotein_, _wheyprotein_), _milchprotein_, _h??hnereiweiss_, kakaopulver (nur sorte schoko), aroma, pflanzen??l, s????ungsmittel natriumsaccharin und acesulfam-k.","egg allergy, milk allergy, soy allergy, wheat allergy","egg., milk, soy, wheat"
